Levrek,19.2,0,1.2,93
Ton,22.8,0,22,289
Ayçiçeği Yağı,0,0,100,884
Zeytin Yağı,0,0,100,884
Bezelye ,6.3,14.4,0.4,84
Zeytin (Siyah),1.8,1.1,21,207
Zeytin (Yeşil),1.5,2.8,13.5,144
Ekmek (buğday),9.1,56.4,0.8,276
Ekmek (beyaz),19.5,127,8.25,256
Makarna,12.5,75.2,1.2,369
Adaçayı,10.6,60.7,12.7,315
Tereyağı,0,0,11,100
Kahve ,0,1,0,5
Orta yağlı dana eti,19.1,0,12,190
Ay çekirdeği,24,19.9,47.3,560
Badem,18.6,19,54.2,598
Fındık,12,16,62.4,634
Kuru Fasulye ,22.3,61.3,1.6,340
Mercimek,24.7,60.1,1.1,340
Nohut,20.5,61,4.8,360
Tavuk ,18.6,0,15.1,215
Çilek,0.7,8.4,0.5,37
Elma,0.2,14.5,0.6,58
Kayısı ,0.3,4.3,0.1,17
Limon,1.1,8.2,0.3,27
Muz,1,27,1,105
Nar,0.5,16,0.3,63
Böğürtlen,1.2,12.9,0.9,58
Portakal,1,12.2,0.2,49
Beyaz peynir ,22.5,0,21.6,289
Hurma,2.2,72.9,0.5,274
Domates,1,5,0.2,25
Havuç,1.1,9.7,0.2,42
Hıyar ,0.9,3.4,0.1,15
Ispanak,3.2,4.3,0.3,26
Kabak ,11,4.2,0.1,19
Brokoli,3,2.5,0.1,26
Karnabahar,2.7,5.2,0.2,27
Kereviz,1.8,8.5,0.3,40
Lahana (Kara),4,5,0.3,45
Marul,1,3,0.2,14
Maydanoz,3.6,8.5,0.6,44
Mısır ,3.5,22.1,1,96
Patates,2.1,17.1,0.1,76
Patlıcan ,1.2,5.6,0.2,25
Soğan (Kuru),1.5,8.7,0.1,38
Salça,2.7,21.3,0.4,98
İnek sütü (1/2 yağlı),3.3,4.8,1.9,50
Yoğurt (1/2 yağlı),3.4,5.2,1.7,50
Bal,0.3,78.4,0,315
Çikolata ,4.4,57.9,35.1,528
Pekmez ,0.6,70.6,0.1,293
Şeker,0,99.5,0,385
Tahin ,10.5,53.5,28,516
Buğday ,12.7,70.1,2.5,332
Bulgur,10.1,78.1,1.2,357
Pirinç,6.7,80.4,0.4,363
Yulaf Unu,12,68,75,388
Yumurta ,12.1,1.2,11.2,158
